achaierai,1600,le,outsider,hell,any,bestiary 2 7,0,0
akhana,19200,n,outsider,outer plane,any,bestiary 2 9,0,0
bythos,76800,n,outsider,outer plane,any,bestiary 2 10,0,0
paracletus,600,n,outsider,outer plane,any,bestiary 2 11,0,0
pleroma,307200,n,outsider,outer plane,any,bestiary 2 13,0,0
theletos,3200,n,outsider,outer plane,any,bestiary 2 14,0,0
avoral,6400,ng,outsider,nirvana,air,bestiary 2 16,0,0
cetaceal,51200,ng,outsider,nirvana,aquatic,bestiary 2 17,0,0
draconal,307200,ng,outsider,nirvana,air,bestiary 2 18,0,0
leonal,19200,ng,outsider,nirvana,land,bestiary 2 20,0,0
silvanshee,600,ng,outsider,nirvana,land,bestiary 2 21,0,0
vulpinal,2400,ng,outsider,nirvana,land,bestiary 2 22,0,0
akata,400,n,aberration,any,any,bestiary 2 23,0,0
giant amoeba,400,n,ooze,any,land underground,bestiary 2 24,0,0
amoeba swarm,400,n,ooze,any,land underground,bestiary 2 24,0,0
amphisbaena,1200,n,magical beast,temperate,hill underground,bestiary 2 25,0,0
cassisian,600,ng,outsider,good plane,any,bestiary 2 26,0,0
monadic deva,19200,ng,outsider,good plane,any,bestiary 2 27,0,0
movanic deva,9600,ng,outsider,good plane,any,bestiary 2 28,0,0
animated dream,4800,ne,outsider,ethereal plane,any,bestiary 2 29,0,0
aranea,1200,n,magical beast,tropical,forest,bestiary 2 30,0,0
shield archon,9600,lg,outsider,heaven,any,bestiary 2 31,0,0
star archon,204800,lg,outsider,heaven,any,bestiary 2 32,0,0
athach,19200,ce,humanoid,cold temperate,hill,bestiary 2 33,0,0
attic whipserer,1200,ne,undead,any,urban ruin,bestiary 2 34,0,0
aurumvorax,6400,n,magical beast,temperate,plain hill forest,bestiary 2 35,0,0
axiomite,4800,ln,outsider,lawful plane,any,bestiary 2 36,0,0
brijidine,102400,cg,outsider,elysium,any,bestiary 2 37,0,0
lyrakien,600,cg,outsider,elysium,any,bestiary 2 38,0,0
azer,600,ln,outsider,plane of fire,land,bestiary 2 39,0,0
badger,200,n,animal,temperate,forest,bestiary 2 40,0,0
dire badger,600,n,animal,temperate,forest,bestiary 2 40,0,0
banshee,25600,ce,undead,any,any,bestiary 2 41,0,0
mobat,800,n,magical beast,temperate warm,forest hill underground,bestiary 2 42,0,0
skaveling,1600,ce,undead,any,underground,bestiary 2 42,0,0
giant bee,400,n,vermin,temperate warm,plain,bestiary 2 43,0,0
giant queen bee,1600,n,vermin,temperate warm,plain,bestiary 2 43,0,0
goliath stag beetle,4800,n,vermin,warm,forest plain,bestiary 2 44,0,0
slicer beetle,1200,n,vermin,temperate,forest,bestiary 2 44,0,0
belker,2400,ne,outsider,plane of air,any,bestiary 2 45,0,0
blindheim,600,n,magical beast,any,underground,bestiary 2 46,0,0
blink dog,600,lg,magical beast,temperate,plain forest,bestiary 2 47,0,0
bodak,4800,ce,undead,evil outer plane,land,bestiary 2 48,0,0
brownie,400,n,fey,temperate,forest plain,bestiary 2 49,0,0
bunyip,800,n,magical beast,any,aquatic,bestiary 2 50,0,0
